"time","x","y","position","velocity","acceleration","jerk","heading"
0,13.9736,41.5588,0,0,0,0,0
0.02,14.1078,41.5588,0.134168,6.70839,335.419,16771,-0.000298526
0.04,14.242,41.5588,0.268435,6.71339,0.249999,-16758.5,-0.000597051
0.06,14.3763,41.5588,0.402703,6.71339,5.67226e-07,-12.4999,-0.000895577
0.08,14.5105,41.5588,0.536871,6.70839,-0.250002,-12.5001,-0.0011941
0.1,14.6447,41.5588,0.671139,6.71339,0.250004,25.0003,-0.00149263
0.12,14.779,41.5588,0.805406,6.71339,-5.67233e-06,-12.5005,-0.00179115
0.14,14.9132,41.5588,0.939574,6.70839,-0.249994,-12.4994,-0.00208968
0.16,15.1513,41.5588,1.17767,11.9049,259.824,13003.7,-0.00295962
0.18,15.4755,41.5588,1.50188,16.2102,215.269,-2227.75,-0.00430386
0.2,15.7997,41.5587,1.82608,16.2103,3.85749e-05,-10763.4,-0.0056481
0.22,16.1691,41.5587,2.19552,18.472,113.09,5654.48,-0.00759103
0.24,16.5918,41.5586,2.61822,21.135,133.15,1003.03,-0.0102394
0.26,17.0217,41.5585,3.04807,21.4923,17.861,-5764.46,-0.0130835
0.28,17.5235,41.5584,3.54986,25.0897,179.871,8100.52,-0.0179046
0.3,18.0316,41.5582,4.05799,25.4063,15.8294,-8202.1,-0.0228655
0.32,18.6013,41.558,4.62772,28.4868,154.024,6909.75,-0.0291915
0.34,19.1913,41.5577,5.21769,29.4984,50.5799,-5172.22,-0.036099
0.36,19.8218,41.5572,5.84822,31.5266,101.41,2541.5,-0.0441695
0.38,20.4935,41.5567,6.51986,33.5817,102.756,67.2753,-0.0540127
0.4,21.1937,41.5559,7.22013,35.0138,71.6081,-1557.37,-0.0649268
0.42,21.931,41.555,7.95738,36.8622,92.4165,1040.42,-0.0770155
0.44,22.7121,41.5539,8.73849,39.0555,109.666,862.473,-0.090718
0.46,23.5262,41.5525,9.55256,40.7037,82.4089,-1362.85,-0.106021
0.48,24.375,41.5508,10.4014,42.4405,86.8419,221.648,-0.122806
0.5,25.2597,41.5488,11.2861,44.2354,89.7445,145.129,-0.140901
0.52,26.1808,41.5463,12.2072,46.0568,91.0713,66.3391,-0.16044
0.54,27.1385,41.5435,13.1649,47.8854,91.4276,17.8163,-0.18161
0.56,28.1291,41.5402,14.1555,49.5284,82.149,-463.927,-0.203918
0.58,29.1343,41.5364,15.1607,50.2606,36.6127,-2276.82,-0.226858
0.6,30.1395,41.5322,16.166,50.2626,0.0981605,-1825.73,-0.249964
0.62,31.1447,41.5277,17.1712,50.2605,-0.103377,-10.0769,-0.272882
0.64,32.1498,41.5226,18.1763,50.2562,-0.214149,-5.53857,-0.295412
0.66,33.1548,41.5173,19.1813,50.2495,-0.33591,-6.08805,-0.317343
0.68,34.1595,41.5115,20.186,50.2372,-0.614749,-13.942,-0.338178
0.7,35.1638,41.5054,21.1903,50.2148,-1.12058,-25.2917,-0.357473
0.72,36.1678,41.4989,22.1943,50.201,-0.688902,21.584,-0.375099
0.74,37.1713,41.4923,23.1979,50.1782,-1.14133,-22.6216,-0.39071
0.76,38.1743,41.4853,24.2009,50.1499,-1.41355,-13.6107,-0.403817
0.78,39.1764,41.4782,25.203,50.1035,-2.3226,-45.4525,-0.413267
0.8,40.1777,41.4709,26.2043,50.0667,-1.83949,24.1553,-0.419027
0.82,41.1781,41.4634,27.2047,50.0205,-2.31133,-23.5921,-0.420709
0.84,42.1774,41.4562,28.2041,49.968,-2.62018,-15.4423,-0.417775
0.86,43.1754,41.4489,29.2022,49.9043,-3.18542,-28.2619,-0.409666
0.88,44.1723,41.4419,30.199,49.844,-3.01695,8.42329,-0.395807
0.9,45.1677,41.4351,31.1944,49.7705,-3.67287,-32.796,-0.375479
0.92,46.1614,41.4289,32.1881,49.685,-4.27491,-30.1016,-0.347629
0.94,47.1534,41.4231,33.1802,49.6036,-4.07405,10.0429,-0.31261
0.96,48.1437,41.4181,34.1705,49.5138,-4.49052,-20.8234,-0.270132
0.98,49.1323,41.4138,35.1591,49.4321,-4.08341,20.3553,-0.220031
1,50.1192,41.4104,36.146,49.3453,-4.33891,-12.7749,-0.162296
1.02,51.1044,41.4082,37.1313,49.2604,-4.24676,4.60747,-0.097088
1.04,52.088,41.4071,38.1148,49.1795,-4.04532,10.072,-0.0247573
1.06,53.0701,41.4073,39.0969,49.1048,-3.73408,15.5624,0.0541538
1.08,54.0509,41.409,40.0777,49.0385,-3.31537,20.9354,0.138916
1.1,55.0305,41.4121,41.0574,48.9824,-2.80133,25.7018,0.228633
1.12,56.0093,41.4168,42.0361,48.9383,-2.20528,29.8026,0.322266
