"time","x","y","position","velocity","acceleration","jerk","heading"
0,0,0,0,0,37,0,0
0.02,0.00860233,0,0.00860233,0.74,37,0,0
0.04,0.0296355,0,0.0296355,1.48,37,0,0
0.06,0.0666854,0,0.0666854,2.22,37,0,0
0.08,0.118429,0,0.118429,2.96,37,0,0
0.1,0.185034,0,0.185034,3.7,37,0,0
0.12,0.266422,0,0.266422,4.44,37,0,0
0.14,0.362613,0,0.362613,5.18,37,0,0
0.16,0.473612,0,0.473612,5.92,37,0,0
0.18,0.599402,0,0.599402,6.66,37,0,0
0.2,0.74,0,0.74,7.4,37,0,0
0.22,0.895407,0,0.895407,8.14,37,0,0
0.24,1.06561,0,1.06561,8.88,37,0,0
0.26,1.2506,0,1.2506,9.62,37,0,0
0.28,1.4504,0,1.4504,10.36,37,0,0
0.3,1.665,0,1.665,11.1,37,0,0
0.32,1.8944,0,1.8944,11.84,37,0,0
0.34,2.1386,0,2.1386,12.58,37,0,0
0.36,2.3976,0,2.3976,13.32,37,0,0
0.38,2.6714,0,2.6714,14.06,37,0,0
0.4,2.96,0,2.96,14.8,37,0,0
0.42,3.2634,0,3.2634,15.54,37,0,0
0.44,3.5816,0,3.5816,16.28,37,0,0
0.46,3.9146,0,3.9146,17.02,37,0,0
0.48,4.2624,0,4.2624,17.76,37,0,0
0.5,4.625,0,4.625,18.5,37,0,0
0.52,5.0024,0,5.0024,19.24,37,0,0
0.54,5.3946,0,5.3946,19.98,37,0,0
0.56,5.8016,0,5.8016,20.72,37,0,0
0.58,6.2234,0,6.2234,21.46,37,0,0
0.6,6.66,0,6.66,22.2,37,0,0
0.62,7.1114,0,7.1114,22.94,37,0,0
0.64,7.5776,0,7.5776,23.68,37,0,0
0.66,8.0586,0,8.0586,24.42,37,0,0
0.68,8.5544,0,8.5544,25.16,37,0,0
0.7,9.065,0,9.065,25.9,37,0,0
0.72,9.5904,0,9.5904,26.64,37,0,0
0.74,10.1306,0,10.1306,27.38,37,0,0
0.76,10.6856,0,10.6856,28.12,37,0,0
