"time","x","y","position","velocity","acceleration","jerk","heading"
0,18.9474,146.5,0,0,0,0,0
0.02,19.0815,146.5,0.1341,6.705,335.25,16762.5,0
0.04,19.2157,146.5,0.2683,6.71,0.25,-16750,0
0.06,19.3499,146.5,0.4025,6.71,8.92619e-12,-12.5,0
0.08,19.484,146.5,0.5366,6.705,-0.25,-12.5,0
0.1,19.6182,146.5,0.6708,6.71,0.25,25,0
0.12,19.7524,146.5,0.805,6.71,2.22045e-13,-12.5,0
0.14,19.8865,146.5,0.9391,6.705,-0.25,-12.5,0
0.16,20.1244,146.5,1.177,11.895,259.5,12987.5,0
0.18,20.4483,146.5,1.5009,16.195,215,-2225,0
0.2,20.7722,146.5,1.8248,16.195,7.81597e-12,-10750,0
0.22,21.1412,146.5,2.1938,18.45,112.75,5637.5,0
0.24,21.5633,146.5,2.6159,21.105,132.75,1000,0
0.26,21.9925,146.5,3.0451,21.46,17.75,-5750,0
0.28,22.4932,146.5,3.5458,25.035,178.75,8050,0
0.3,23.0002,146.5,4.0528,25.35,15.75,-8150,0
0.32,23.5685,146.5,4.6211,28.415,153.25,6875,0
0.34,24.1569,146.5,5.2095,29.42,50.25,-5150,0
0.36,24.7855,146.5,5.8381,31.43,100.5,2512.5,0
0.38,25.455,146.5,6.5076,33.475,102.25,87.5,0
0.4,26.1528,146.5,7.2054,34.89,70.75,-1575,0
0.42,26.8873,146.5,7.9399,36.725,91.75,1050,0
0.44,27.6653,146.5,8.7179,38.9,108.75,850,0
0.46,28.4759,146.5,9.5285,40.53,81.5,-1362.5,0
0.48,29.3209,146.5,10.3735,42.25,86,225,0
0.5,30.2015,146.5,11.2541,44.03,89,150,0
0.52,31.1182,146.5,12.1708,45.835,90.25,62.5,0
0.54,32.0714,146.5,13.124,47.66,91.25,50,0
0.56,33.0611,146.5,14.1137,49.485,91.25,2.22045e-09,0
0.58,34.0873,146.5,15.1399,51.31,91.25,-1.92841e-09,0
0.6,35.1498,146.5,16.2024,53.125,90.75,-25,0
0.62,36.2484,146.5,17.301,54.93,90.25,-25,0
0.64,37.3827,146.5,18.4353,56.715,89.25,-50,0
0.66,38.5524,146.5,19.605,58.485,88.5,-37.5,0
0.68,39.7572,146.5,20.8098,60.24,87.75,-37.5,0
0.7,40.9979,146.5,22.0505,62.035,89.75,100,0
0.72,42.2777,146.5,23.3303,63.99,97.75,400,0
0.74,43.5917,146.5,24.6443,65.7,85.5,-612.5,0
0.76,44.9394,146.5,25.992,67.385,84.25,-62.5,0
0.78,46.3275,146.5,27.3801,69.405,101,837.5,0
0.8,47.7488,146.5,28.8014,71.065,83,-900,0
0.82,49.2069,146.5,30.2595,72.905,92,450,0
0.84,50.7008,146.5,31.7534,74.695,89.5,-125,0
0.86,52.2309,146.5,33.2835,76.505,90.5,50,0
0.88,53.7963,146.5,34.8489,78.27,88.25,-112.5,0
0.9,55.3991,146.5,36.4517,80.14,93.5,262.5,0
0.92,57.0359,146.5,38.0885,81.84,85,-425,0
0.94,58.7105,146.5,39.7631,83.73,94.5,475,0
0.96,60.4209,146.5,41.4735,85.52,89.5,-250,0
0.98,62.1664,146.5,43.219,87.275,87.75,-87.5,0
1,63.9474,146.5,45,89.05,88.75,50,0
1.02,65.7474,146.5,46.8,90,47.5,-2062.5,0
1.04,67.5474,146.5,48.6,90,0,-2375,0
1.06,69.3474,146.5,50.4,90,0,0,0
1.08,71.1474,146.5,52.2,90,3.55271e-11,1.77636e-09,0
1.1,72.9474,146.5,54,90,-3.55271e-11,-3.55271e-09,0
1.12,74.7474,146.5,55.8,90,0,1.77636e-09,0
1.14,76.5521,146.5,57.6047,90.2353,11.7649,588.245,0.0199727
1.16,78.3647,146.501,59.4173,90.6299,19.7285,398.181,0.0734364
1.18,80.1839,146.505,61.2365,90.9617,16.5891,-156.97,0.155045
1.2,82.008,146.511,63.0606,91.2047,12.1538,-221.765,0.257263
1.22,83.8352,146.521,64.8879,91.361,7.81493,-216.945,0.373097
1.24,85.6638,146.536,66.7165,91.4324,3.56703,-212.395,0.494449
1.26,87.492,146.553,68.5448,91.4138,-0.927609,-224.732,0.614541
1.28,89.3184,146.574,70.3713,91.328,-4.29169,-168.204,0.727168
1.3,91.1417,146.599,72.1948,91.1708,-7.85877,-178.354,0.826661
1.32,92.9606,146.627,74.0139,90.9565,-10.715,-142.813,0.907841
1.34,94.774,146.657,75.8275,90.682,-13.7247,-150.484,0.965944
1.36,96.5796,146.688,77.6334,90.2938,-19.4113,-284.33,0.996538
1.38,98.36,146.719,79.4141,89.0347,-62.9559,-2177.23,0.995789
1.4,100.098,146.749,81.1518,86.8875,-107.36,-2220.21,0.960527
1.42,101.789,146.777,82.8438,84.5975,-114.499,-356.938,0.888039
1.44,103.437,146.8,84.4917,82.3951,-110.118,219.048,0.780792
1.46,105.042,146.821,86.0972,80.2769,-105.913,210.226,0.638201
1.48,106.599,146.835,87.6538,77.8299,-122.349,-821.77,0.453698
1.5,108.113,146.845,89.1676,75.69,-106.994,767.717,0.232019
1.52,109.581,146.848,90.6355,73.3953,-114.735,-387.02,-0.027284
1.54,111.006,146.844,92.0608,71.262,-106.664,403.544,-0.319131
1.56,112.382,146.833,93.4375,68.8353,-121.336,-733.614,-0.660119
1.58,113.716,146.813,94.7716,66.7083,-106.35,749.307,-1.0378
1.6,115.003,146.785,96.0587,64.353,-117.767,-570.856,-1.45061
1.62,116.246,146.749,97.3015,62.1401,-110.642,356.251,-1.90372
1.64,117.444,146.705,98.5012,59.9847,-107.772,143.483,-2.39273
1.66,118.594,146.652,99.6516,57.5183,-123.321,-777.417,-2.92325
1.68,119.7,146.59,100.76,55.4188,-104.971,917.509,-3.49002
1.7,120.765,146.52,101.827,53.3364,-104.121,42.4704,-4.08361
1.72,121.779,146.442,102.844,50.8833,-122.654,-926.613,-4.73211
1.74,122.752,146.357,103.82,48.8059,-103.871,939.126,-5.39935
1.76,123.675,146.264,104.749,46.409,-119.846,-798.766,-6.11386
1.78,124.556,146.164,105.635,44.3216,-104.372,773.72,-6.85347
1.8,125.394,146.058,106.48,42.2378,-104.19,9.09996,-7.6233
1.82,126.188,145.947,107.281,40.0818,-107.8,-180.488,-8.42975
1.84,126.943,145.83,108.045,38.1843,-94.876,646.183,-9.25171
1.86,127.656,145.708,108.768,36.1609,-101.166,-314.514,-10.1217
1.88,128.332,145.582,109.457,34.418,-87.144,701.112,-11.0077
1.9,128.973,145.453,110.111,32.6927,-86.2697,43.7195,-11.9133
1.92,129.575,145.321,110.727,30.8013,-94.5659,-414.813,-12.8743
1.94,130.146,145.186,111.313,29.3361,-73.2614,1065.22,-13.8472
1.96,130.688,145.048,111.873,27.9981,-66.8995,318.095,-14.8439
1.98,131.202,144.907,112.405,26.6049,-69.6588,-137.962,-15.8732
2,131.684,144.766,112.908,25.1429,-73.1041,-172.265,-16.9408
2.02,132.139,144.623,113.384,23.8089,-66.6989,320.259,-18.0206
2.04,132.569,144.478,113.839,22.7147,-54.7076,599.563,-19.1284
2.06,132.978,144.333,114.272,21.6845,-51.5132,159.722,-20.2666
2.08,133.355,144.19,114.676,20.1721,-75.6204,-1205.36,-21.4464
2.1,133.713,144.045,115.062,19.2958,-43.8132,1590.36,-22.6379
2.12,134.056,143.898,115.436,18.6872,-30.4301,669.155,-23.8409
2.14,134.371,143.755,115.781,17.2566,-71.5274,-2054.87,-25.0846
2.16,134.668,143.612,116.111,16.4987,-37.895,1681.62,-26.355
2.18,134.949,143.47,116.426,15.7507,-37.4043,24.5377,-27.6507
2.2,135.209,143.331,116.721,14.7503,-50.0198,-630.776,-28.9659
2.22,135.459,143.189,117.008,14.3701,-19.0083,1550.57,-30.2893
2.24,135.692,143.05,117.279,13.5657,-40.2218,-1060.67,-31.6315
2.26,135.909,142.912,117.536,12.8389,-36.3393,194.125,-33.0026
2.28,136.114,142.776,117.783,12.3363,-25.1275,560.588,-34.398
2.3,136.305,142.641,118.016,11.6796,-32.834,-385.326,-35.8099
2.32,136.49,142.505,118.246,11.4857,-9.69795,1156.8,-37.2262
2.34,136.661,142.372,118.462,10.8144,-33.5618,-1193.19,-38.6582
2.36,136.827,142.236,118.678,10.7555,-2.94913,1530.63,-40.0945
2.38,136.983,142.101,118.883,10.2782,-23.8631,-1045.7,-41.545
2.4,137.132,141.965,119.085,10.1083,-8.49719,768.298,-43.0035
2.42,137.275,141.83,119.282,9.83932,-13.447,-247.489,-44.4738
2.44,137.412,141.691,119.477,9.75564,-4.18385,463.156,-45.9446
2.46,137.545,141.55,119.671,9.69217,-3.17348,50.5182,-47.4157
2.48,137.675,141.405,119.865,9.72057,1.42019,229.684,-48.8869
2.5,137.801,141.256,120.061,9.76741,2.34182,46.0817,-50.3582
2.52,137.925,141.104,120.257,9.82194,2.72651,19.2345,-51.8272
2.54,138.046,140.946,120.456,9.91627,4.71653,99.5009,-53.2953
2.56,138.167,140.778,120.663,10.384,23.386,933.472,-54.7417
2.58,138.287,140.605,120.873,10.5041,6.00526,-869.035,-56.1846
2.6,138.406,140.421,121.092,10.9542,22.5069,825.08,-57.6139
2.62,138.524,140.229,121.317,11.2512,14.8495,-382.867,-59.037
2.64,138.641,140.028,121.55,11.6417,19.5233,233.687,-60.451
2.66,138.758,139.814,121.795,12.2283,29.3311,490.392,-61.8444
2.68,138.874,139.591,122.046,12.5737,17.2707,-603.019,-63.2259
2.7,138.994,139.344,122.32,13.7041,56.5198,1962.45,-64.5663
2.72,139.112,139.09,122.6,14.002,14.8916,-2081.41,-65.8977
2.74,139.23,138.816,122.899,14.9053,45.1664,1513.74,-67.2122
2.76,139.346,138.528,123.21,15.5504,32.254,-645.622,-68.512
2.78,139.461,138.227,123.532,16.1225,28.6058,-182.41,-69.8006
2.8,139.58,137.89,123.889,17.8487,86.3096,2885.19,-71.0186
2.82,139.696,137.539,124.259,18.4909,32.1113,-2709.91,-72.2259
2.84,139.81,137.171,124.644,19.2521,38.0597,297.419,-73.4216
2.86,139.923,136.774,125.057,20.6436,69.5744,1575.74,-74.5953
2.88,140.035,136.353,125.492,21.7692,56.2793,-664.754,-75.7288
2.9,140.143,135.906,125.952,22.976,60.3443,203.246,-76.8183
2.92,140.25,135.428,126.442,24.5051,76.4545,805.514,-77.8962
2.94,140.353,134.921,126.96,25.906,70.045,-320.479,-78.9459
2.96,140.453,134.383,127.507,27.3427,71.8325,89.375,-79.9572
2.98,140.549,133.811,128.086,28.9853,82.1291,514.833,-80.9311
3,140.639,133.207,128.697,30.5273,77.1013,-251.391,-81.9016
3.02,140.726,132.553,129.357,33.0037,123.82,2335.93,-82.8
3.04,140.808,131.862,130.052,34.7675,88.1887,-1781.56,-83.6739
