"time","x","y","position","velocity","acceleration","jerk","heading"
0,130.771,62.3684,0,0,0,0,90
0.02,130.771,62.5581,0.189722,9.48608,474.304,23715.2,90.0001
0.04,130.771,62.7479,0.379522,9.49,0.196113,-23705.4,90.0001
0.06,130.771,62.9376,0.569243,9.48608,-0.196113,-19.6113,90.0002
0.08,130.771,63.1273,0.758943,9.485,-0.053887,7.1113,90.0002
0.1,130.771,63.3172,0.948765,9.49108,0.303887,17.8887,90.0003
0.12,130.771,63.7027,1.33431,19.2772,489.304,24450,90.0005
0.14,130.771,64.1608,1.79235,22.9022,181.25,-15402.7,90.0007
0.16,130.771,64.6948,2.32642,26.7032,190.054,440.194,90.001
0.18,130.771,65.2919,2.92354,29.8565,157.662,-1619.61,90.0016
0.2,130.771,65.9859,3.6175,34.6975,242.054,4219.61,90.0023
0.22,130.771,66.7381,4.36971,37.6108,145.662,-4819.61,90.0033
0.24,130.771,67.5604,5.19197,41.1129,175.108,1472.31,90.0045
0.26,130.771,68.4568,6.08841,44.8222,185.466,517.889,90.0061
0.28,130.771,69.4279,7.05952,48.5555,186.662,59.8056,90.008
0.3,130.77,70.4733,8.10494,52.2709,185.771,-44.5515,90.0104
0.32,130.77,71.5917,9.22335,55.9202,182.464,-165.314,90.0132
0.34,130.77,72.7818,10.4134,59.5016,179.073,-169.552,90.0166
0.36,130.77,74.0416,11.6732,62.992,174.519,-227.694,90.0205
0.38,130.769,75.3699,13.0015,66.4146,171.128,-169.564,90.0251
0.4,130.768,76.7791,14.4107,70.46,202.269,1557.06,90.0302
0.42,130.768,78.2538,15.8854,73.7354,163.769,-1925.04,90.0358
0.44,130.766,79.8049,17.4365,77.5526,190.861,1354.62,90.0416
0.46,130.765,81.4231,19.0547,80.9125,167.998,-1143.17,90.0474
0.48,130.764,83.1181,20.7497,84.7467,191.711,1185.68,90.0522
0.5,130.762,84.8832,22.5148,88.2567,175.498,-810.671,90.0556
0.52,130.76,86.7119,24.3435,91.4358,158.957,-827.053,90.0566
0.54,130.758,88.5225,26.1541,90.5317,-45.2049,-10208.1,90.0549
0.56,130.757,90.2599,27.8915,86.8691,-183.134,-6896.44,90.0511
0.58,130.755,91.9228,29.5544,83.1429,-186.306,-158.618,90.0458
0.6,130.754,93.5171,31.1488,79.7186,-171.218,754.413,90.0401
0.62,130.753,95.0362,32.6678,75.9525,-188.304,-854.304,90.0343
0.64,130.752,96.4868,34.1184,72.5318,-171.034,863.472,90.0289
0.66,130.752,97.8607,35.4923,68.6911,-192.035,-1050.04,90.0239
0.68,130.751,99.1672,36.7988,65.3287,-168.122,1195.67,90.0196
0.7,130.751,100.403,38.035,61.808,-176.035,-395.679,90.0157
0.72,130.751,101.561,39.1923,57.8666,-197.069,-1051.67,90.0126
0.74,130.75,102.648,40.2797,54.3709,-174.783,1114.28,90.0099
0.76,130.75,103.665,41.2962,50.8252,-177.286,-125.115,90.0076
0.78,130.75,104.61,42.2419,47.2806,-177.231,2.75181,90.0058
0.8,130.75,105.486,43.1175,43.7828,-174.892,116.917,90.0042
0.82,130.75,106.29,43.9213,40.1881,-179.731,-241.917,90.0031
0.84,130.75,107.007,44.6391,35.8903,-214.892,-1758.08,90.0022
0.86,130.75,107.66,45.2919,32.6425,-162.392,2625,90.0015
0.88,130.75,108.257,45.8888,29.8446,-139.892,1125,90.001
0.9,130.75,108.741,46.3728,24.1968,-282.392,-7125,90.0007
0.92,130.75,109.199,46.8307,22.8978,-64.9461,10872.3,90.0005
0.94,130.75,109.488,47.1197,14.4478,-422.5,-17877.7,90.0003
0.96,130.75,109.678,47.3097,9.5,-247.392,8755.39,90.0003
0.98,130.75,109.868,47.4997,9.49892,-0.053887,12366.9,90.0002
1,130.75,110.057,47.6886,9.44892,-2.5,-122.306,90.0001
1.02,130.75,110.247,47.8786,9.5,2.55389,252.694,90.0001
