"time","x","y","position","velocity","acceleration","jerk","heading"
0,18.9474,172.35,0,0,0,0,0
0.02,19.1371,172.35,0.1897,9.485,474.25,23712.5,0
0.04,19.3268,172.35,0.3794,9.485,-8.88178e-12,-23712.5,0
0.06,19.5166,172.35,0.5692,9.49,0.25,12.5,0
0.08,19.7063,172.35,0.7589,9.485,-0.25,-25,0
0.1,19.8961,172.35,0.9487,9.49,0.25,25,0
0.12,20.2815,172.35,1.3341,19.27,489,24437.5,0
0.14,20.7396,172.35,1.7922,22.905,181.75,-15362.5,0
0.16,21.2736,172.35,2.3262,26.7,189.75,400,0
0.18,21.8705,172.35,2.9231,29.845,157.25,-1625,0
0.2,22.5643,172.35,3.6169,34.69,242.25,4250,0
0.22,23.3163,172.35,4.3689,37.6,145.5,-4837.5,0
0.24,24.1384,172.35,5.191,41.105,175.25,1487.5,0
0.26,25.0344,172.35,6.087,44.8,184.75,475,0
0.28,26.0052,172.35,7.0578,48.54,187,112.5,0
0.3,27.0501,172.35,8.1027,52.245,185.25,-87.5,0
0.32,28.1679,172.35,9.2205,55.89,182.25,-150,0
0.34,29.3571,172.35,10.4097,59.46,178.5,-187.5,0
0.36,30.6162,172.35,11.6688,62.955,174.75,-187.5,0
0.38,31.9434,172.35,12.996,66.36,170.25,-225,0
0.4,33.3515,172.35,14.4041,70.405,202.25,1600,0
0.42,34.8251,172.35,15.8777,73.68,163.75,-1925,0
0.44,36.3749,172.35,17.4275,77.49,190.5,1337.5,0
0.46,37.9919,172.35,19.0445,80.85,168,-1125,0
0.48,39.6857,172.35,20.7383,84.69,192,1200,0
0.5,41.4501,172.35,22.5027,88.22,176.5,-775,0
0.52,43.2857,172.35,24.3383,91.78,178,75,0
0.54,45.1931,172.35,26.2457,95.37,179.5,75,0
0.56,47.1729,172.35,28.2255,98.99,181,75,0
0.58,49.225,172.35,30.2776,102.605,180.75,-12.5,0
0.6,51.3492,172.35,32.4018,106.21,180.25,-25,0
0.62,53.5451,172.35,34.5977,109.795,179.25,-50,0
0.64,55.8122,172.35,36.8648,113.355,178,-62.5,0
0.66,58.1524,172.35,39.205,117.01,182.75,237.5,0
0.68,60.5648,172.35,41.6174,120.62,180.5,-112.5,0
0.7,63.0479,172.35,44.1005,124.155,176.75,-187.5,0
0.72,65.6046,172.35,46.6572,127.835,184,362.5,0
0.74,68.2324,172.35,49.285,131.39,177.75,-312.5,0
0.76,70.9314,172.35,51.984,134.95,178,12.5,0
0.78,73.7035,172.35,54.7561,138.605,182.75,237.5,0
0.8,76.4759,172.35,57.5285,138.62,0.744057,-9100.3,0.0190323
0.82,79.1641,172.353,60.2167,134.41,-210.49,-10561.7,0.107179
0.84,81.7686,172.361,62.8212,130.224,-209.312,58.894,0.249769
0.86,84.2948,172.375,65.3474,126.313,-195.537,688.746,0.415745
0.88,86.7504,172.396,67.8032,122.787,-176.293,962.205,0.583465
0.9,89.1353,172.424,70.1882,119.249,-176.894,-30.0658,0.73598
0.92,91.4549,172.457,72.508,115.992,-162.879,700.761,0.861686
0.94,93.7114,172.492,74.7648,112.842,-157.502,268.821,0.95099
0.96,95.9036,172.53,76.9573,109.623,-160.94,-171.9,0.995382
0.98,98.0338,172.567,79.0878,106.527,-154.791,307.445,0.993891
1,100.102,172.602,81.1567,103.444,-154.164,31.3692,0.944809
1.02,102.11,172.635,83.165,100.415,-151.466,134.887,0.84723
1.04,104.057,172.661,85.1117,97.332,-154.124,-132.901,0.701256
1.06,105.942,172.682,86.9965,94.2401,-154.596,-23.5719,0.507823
1.08,107.764,172.694,88.8192,91.1369,-155.164,-28.4112,0.267986
1.1,109.522,172.698,90.5771,87.8948,-162.104,-346.985,-0.0145074
1.12,111.219,172.694,92.274,84.8464,-152.417,484.339,-0.334269
1.14,112.852,172.679,93.9067,81.6322,-160.711,-414.704,-0.698835
1.16,114.42,172.655,95.4757,78.4514,-159.041,83.493,-1.10176
1.18,115.923,172.621,96.9786,75.1451,-165.315,-313.7,-1.53108
1.2,117.363,172.577,98.4195,72.0446,-155.025,514.524,-1.98697
1.22,118.74,172.523,99.7975,68.8988,-157.292,-113.361,-2.47425
1.24,120.064,172.46,101.123,66.2589,-131.993,1264.93,-2.98362
1.26,121.343,172.389,102.404,64.0761,-109.142,1142.57,-3.52043
1.28,122.574,172.307,103.638,61.6929,-119.16,-500.9,-4.06973
1.3,123.77,172.216,104.837,59.9672,-86.2812,1643.93,-4.66023
1.32,124.925,172.116,105.996,57.9476,-100.981,-734.97,-5.25917
1.34,126.047,172.007,107.124,56.3864,-78.0612,1145.97,-5.89045
1.36,127.139,171.889,108.222,54.9,-74.3215,186.987,-6.54202
1.38,128.2,171.76,109.29,53.4196,-74.0202,15.0609,-7.20872
1.4,129.238,171.623,110.337,52.3427,-53.842,1008.91,-7.9101
1.42,130.249,171.476,111.359,51.097,-62.2894,-422.372,-8.62406
1.44,131.236,171.321,112.359,49.9906,-55.318,348.571,-9.35963
1.46,132.207,171.155,113.344,49.2285,-38.1025,860.776,-10.1291
1.48,133.155,170.979,114.307,48.1943,-51.7099,-680.37,-10.9111
1.5,134.077,170.795,115.248,47.0051,-59.4605,-387.528,-11.7105
1.52,134.987,170.599,116.178,46.5408,-23.2177,1812.14,-12.5456
1.54,135.882,170.394,117.097,45.9124,-31.4209,-410.16,-13.4024
1.56,136.755,170.179,117.996,44.9685,-47.1954,-788.722,-14.2645
1.58,137.612,169.954,118.882,44.307,-33.072,706.167,-15.1618
1.6,138.457,169.719,119.759,43.8599,-22.3577,535.718,-16.082
1.62,139.292,169.471,120.63,43.5498,-15.5013,342.817,-17.0256
1.64,140.102,169.216,121.48,42.4765,-53.6681,-1908.34,-17.9809
1.66,140.904,168.948,122.325,42.2316,-12.2431,2071.25,-18.955
1.68,141.693,168.669,123.162,41.8861,-17.2772,-251.703,-19.9582
1.7,142.47,168.38,123.991,41.4388,-22.3609,-254.188,-20.9921
1.72,143.238,168.078,124.816,41.2502,-9.43001,646.546,-22.0369
1.74,143.987,167.767,125.627,40.5432,-35.3539,-1296.2,-23.0969
1.76,144.725,167.444,126.433,40.2953,-12.394,1148,-24.1724
1.78,145.453,167.109,127.234,40.0815,-10.6899,85.2042,-25.2717
1.8,146.171,166.762,128.032,39.8631,-10.918,-11.4068,-26.3996
1.82,146.88,166.401,128.827,39.7794,-4.1877,336.517,-27.5448
1.84,147.574,166.031,129.613,39.304,-23.7676,-978.996,-28.7053
1.86,148.258,165.648,130.397,39.1855,-5.92473,892.144,-29.8696
1.88,148.927,165.255,131.173,38.8098,-18.7874,-643.133,-31.0542
1.9,149.586,164.849,131.948,38.7344,-3.76984,750.877,-32.2405
1.92,150.237,164.429,132.722,38.7132,-1.05844,135.57,-33.4738
1.94,150.878,163.996,133.496,38.6908,-1.11896,-3.02615,-34.7078
1.96,151.504,163.552,134.264,38.3753,-15.7751,-732.807,-35.9592
1.98,152.121,163.094,135.032,38.4001,1.23849,850.68,-37.2109
2,152.723,162.626,135.794,38.1238,-13.8156,-752.707,-38.4766
2.02,153.316,162.145,136.557,38.1694,2.28039,804.802,-39.7424
2.04,153.894,161.652,137.317,38.002,-8.37038,-532.538,-41.0242
2.06,154.463,161.147,138.078,38.0418,1.99023,518.03,-42.3063
2.08,155.02,160.629,138.839,38.0135,-1.41632,-170.328,-43.6045
2.1,155.564,160.098,139.599,38.0144,0.0467561,73.1539,-44.9041
2.12,156.095,159.556,140.358,37.9493,-3.25378,-165.027,-46.2043
2.14,156.614,159.004,141.116,37.89,-2.96855,14.2618,-47.5046
2.16,157.12,158.438,141.875,37.9526,3.13098,304.976,-48.805
2.18,157.612,157.862,142.632,37.8825,-3.50627,-331.862,-50.1054
2.2,158.093,157.273,143.393,38.0193,6.84245,517.436,-51.4043
2.22,158.56,156.674,144.153,38.0037,-0.779941,-381.12,-52.7024
2.24,159.015,156.064,144.913,38.0192,0.774655,77.7298,-53.9893
2.26,159.455,155.443,145.674,38.0282,0.447834,-16.3411,-55.2678
2.28,159.882,154.813,146.436,38.1021,3.69993,162.605,-56.5385
2.3,160.296,154.171,147.199,38.1772,3.75461,2.7338,-57.8018
2.32,160.697,153.518,147.965,38.3029,6.28398,126.468,-59.0587
2.34,161.085,152.853,148.735,38.4757,8.64055,117.829,-60.3085
2.36,161.46,152.179,149.506,38.5725,4.83622,-190.216,-61.5448
2.38,161.821,151.495,150.28,38.7016,6.45574,80.9761,-62.7659
2.4,162.168,150.801,151.056,38.7635,3.09859,-167.858,-63.9663
2.42,162.501,150.101,151.832,38.8034,1.99099,-55.3802,-65.1471
2.44,162.823,149.386,152.616,39.191,19.3833,869.615,-66.3166
2.46,163.131,148.661,153.403,39.3601,8.45468,-546.43,-67.4784
2.48,163.428,147.924,154.198,39.7765,20.8184,618.186,-68.6234
2.5,163.712,147.177,154.997,39.9195,7.14967,-683.436,-69.7623
2.52,163.982,146.423,155.798,40.0491,6.48125,-33.4213,-70.8413
2.54,164.238,145.661,156.601,40.1812,6.60456,6.16565,-71.9127
2.56,164.484,144.881,157.42,40.9139,36.6352,1501.53,-72.9696
2.58,164.719,144.09,158.245,41.2608,17.3426,-964.63,-74.0163
2.6,164.941,143.286,159.079,41.7178,22.8545,275.593,-75.0519
2.62,165.15,142.474,159.917,41.8947,8.84296,-700.576,-76.0271
2.64,165.347,141.652,160.763,42.2871,19.622,538.949,-76.988
2.66,165.533,140.809,161.626,43.1444,42.8637,1162.09,-77.9408
2.68,165.71,139.95,162.502,43.8351,34.5345,-416.458,-78.8682
2.7,165.873,139.081,163.387,44.2204,19.2653,-763.461,-79.7711
2.72,166.024,138.199,164.282,44.747,26.3295,353.21,-80.6327
2.74,166.167,137.288,165.204,46.0937,67.3372,2050.38,-81.491
2.76,166.298,136.362,166.139,46.7618,33.4029,-1696.71,-82.3158
2.78,166.419,135.422,167.087,47.4226,33.0414,-18.0751,-83.1051
2.8,166.529,134.455,168.06,48.6428,61.0088,1398.37,-83.8785
2.82,166.629,133.455,169.065,50.2266,79.1872,908.92,-84.627
2.84,166.718,132.434,170.09,51.2812,52.7303,-1322.85,-85.329
